in the case of the,in the third question
in the course of," during, while"
in the event that, if
in the field of,in education
in the final analysis, finally OR DELETE
in the light of, considering OR DELETE
in the majority of instances, usually
in the midst of," during, amid"
in the nature of, DELETE
in the near future, soon OR DELETE
in the neighborhood of, about
in the neighbourhood of,of about
in the not too distant future, soon OR DELETE
in this day and age," currently, now, today"
in today's society, today
in view of the fact that, because
in which, DELETE
inner feelings, feelings
interestingly enough, DELETE
is able to, can
is aware of the fact that, knows
is found to be, is
is going to, will
is in a position to,can
is in conflict with, conflicts with/is against
is in contrast to,  contrasts with
is more or less, is
is of significant importance, is significant  OR is important
is scared of, fears
is seen as, is
is when, is OR DELETE
itself, DELETE
join together, join
last but not least, finally
later on, later
make a decision, decide
make an assumption, assume
make contact with, contact
make reference to, refer to
manner in which, way
many different ways,many ways
mental attitude, attitude
mix together, mix
more or less, DELETE [OR be specific]
more preferable, preferable
mutual agreement, agreement
natural instinct, instinct
necessary prerequisite, prerequisite
notwithstanding the fact tha,"although, even, though"
of great importance, DELETE OR is important
off of, off OR from
on a daily basis, daily
on account of the fact that, because
on the basis of," because, based on"
on the grounds that, because
on the occasion of,when
on the situation of, about
on the whole, DELETE
on top of all this, moreover OR DELETE
one of the more, DELETE
one of the most interesting, DELETE
only serves to, DELETE
outlaw,rehabilitated
overall goal, goal
overall structure, structure
owing to the fact that, because
particular type of, DELETE
past experience, experience
past history, history
past memories, memories
period of time," period, time"
plan ahead, plan
previous to, before
prior to, before
providing that, provided
quite clearly, DELETE
real life, life
real truth, truth
really,Delete
reconsider again, reconsider
regardless, DELETE
regardless of the fact that, although
respective, DELETE
respectively, DELETE
right up to the, up to the OR to the
serve the purpose of, DELETE
serves to explain, explain/show
serves to show, explain/show
simultaneously with,"before, after, as"
some kind of, DELETE
somewhere in the neighborhood of, about
sort of, DELETE
study in depth, study
subsequent to,"before, after, as"
such is by no means the case,10. this is not so
symbolically represents," represents, symbolizes"
take action, act
take the time, DELETE
tall skyscraper,tall
tend to,Delete
terrible tragedy, tragedy
that are, DELETE when possible
that being said, DELETE
that exists, DELETE
that exists among, between/with/among
that exists between, between/with/among
that exists with, between/with/among
that is, DELETE when possible
that is to say, DELETE
the colour green, green
the end result, the result
the fact that, that OR DELETE
the final conclusion, the conclusion
the final result, the result
the majority of, most/many
the manner in which, the way OR DELETE
the month of September, September
the overall plan, the plan
the possibility exists for, may/might/could
the reason for,"because, since, why"
the reason is because, the reason/because
the reason why," the reason, why, because"
the type, DELETE
the way in which, the way OR DELETE
the whole, DELETE whole
the world we live in, the world/life OR DELETE
there is,there is That -delete
there is a chance that, may/might/could
there is a need, DELETE
there is a need/necessity for,"must, should"
there is really somewhat of an obligation,the Department of Health is obliged
they are without legal representation whatsoever,they have no legal representation
this being said, DELETE
this is why,"because, since, why"
through the use of, through
throughout the course of, throughout the
to a further extent, further
total abstinence, abstinence
total annihilation, annihilation
totally obvious, obvious
true facts, facts
under circumstances in which,"if, when"
united as one, united
until such time as, until
use of, DELETE
utmost perfection, perfection
valuable asset, asset
various,Delete
various different, various
very,Delete
virtually,Delete
was able to, can OR DELETE
was more or less, was
we are of the opinion that, we believe
well aware of, aware
were able to, can OR DELETE
what is important is, DELETE
when all is said and done, DELETE
where . . . is concerned,about
whether or not, whether/if OR DELETE
which have been found to be, are OR DELETE
which is, DELETE when possible
who are, DELETE
who is,he is a man who is = he is
who was, DELETE
who were, DELETE
with regard to, about/regarding
with the exception of, except for
with the possible exception of,except
witnessed first hand, witnessed
